film_slug,slot_number,source_key,status,source_type,word_count,url,message
shawshank-redemption,1,shawshank-redemption-01-screenplay-dailyscript-com,ok,screenplay,29133,https://www.dailyscript.com/scripts/shawshank.html,
shawshank-redemption,2,shawshank-redemption-02-interview-deadline-com,ok,interview,3640,https://deadline.com/2019/12/shawshank-redemption-25-years-frank-darabont-anniversary-interview-1202759221/,
shawshank-redemption,3,shawshank-redemption-03-festival_qa-dga-org,ok,festival_qa,1850,https://www.dga.org/craft/dgaq/issues/1304-fall-2013/shot-to-remember-shawshank-redemption,
shawshank-redemption,4,shawshank-redemption-04-production_notes-catalog-afi-com,ok,production_notes,1246,https://catalog.afi.com/Catalog/moviedetails/55199,
shawshank-redemption,5,shawshank-redemption-05-academic-mdpi-com,ok,academic,10621,https://www.mdpi.com/2076-0787/12/1/10,
shawshank-redemption,6,shawshank-redemption-06-academic-digitalcommons-unomaha-edu,ok,academic,8508,https://digitalcommons.unomaha.edu/cgi/viewcontent.cgi?article=2737&context=jrf,
shawshank-redemption,7,shawshank-redemption-07-video_essay_transcript-oscars-org,ok,video_essay_transcript,835,https://www.oscars.org/events/shawshank-redemption,
shawshank-redemption,8,shawshank-redemption-08-craft_article-vanityfair-com,ok,craft_article,2914,https://www.vanityfair.com/hollywood/2019/09/for-the-love-of-shawshank,
fight-club,1,fight-club-01-screenplay-imsdb-com,ok,screenplay,28156,https://imsdb.com/scripts/Fight-Club.html,
fight-club,2,fight-club-02-interview-theguardian-com,ok,interview,1979,https://www.theguardian.com/film/1999/oct/29/1,
fight-club,3,fight-club-03-festival_qa-theguardian-com,ok,festival_qa,2332,https://www.theguardian.com/film/2023/oct/27/david-fincher-on-hitmen-incels-and-spider-mans-dumb-origin-story,
fight-club,4,fight-club-04-production_notes-catalog-afi-com,ok,production_notes,437,https://catalog.afi.com/Film/61148-FIGHT-CLUB,
fight-club,5,fight-club-05-academic-digitalcommons-uri-edu,ok,academic,23910,https://digitalcommons.uri.edu/cgi/viewcontent.cgi?article=2703&context=theses,
fight-club,6,fight-club-06-academic-academypublication-com,ok,academic,10083,https://www.academypublication.com/issues2/tpls/vol05/04/09.pdf,
fight-club,7,fight-club-07-video_essay_transcript-local,ok,video_essay_transcript,2434,In repo,
fight-club,8,fight-club-08-craft_article-theguardian-com,ok,craft_article,869,https://www.theguardian.com/film/1999/sep/14/1,
one-flew-over-the-cuckoos-nest,1,one-flew-over-the-cuckoos-nest-01-screenplay-imsdb-com,ok,screenplay,25111,https://imsdb.com/scripts/One-Flew-Over-the-Cuckoo's-Nest.html,
one-flew-over-the-cuckoos-nest,2,one-flew-over-the-cuckoos-nest-02-interview-deadline-com,ok,interview,3966,https://deadline.com/2025/05/one-flew-over-the-cuckoos-nest-michael-douglas-interview-1236388201/,
