film_slug,source_key,title,author,publisher,source_type,url,publication_date,is_primary,credibility_score,local_path,notes
shawshank-redemption,shawshank-redemption-01-screenplay-dailyscript-com,ShawShank Redemption,,dailyscript.com,screenplay,https://www.dailyscript.com/scripts/shawshank.html,,true,0.92,data/manual_extracted/shawshank-redemption-01-screenplay-dailyscript-com.txt,Manual corpus row 1. Spreadsheet target type: screenplay. Screenplay or legally available script
shawshank-redemption,shawshank-redemption-02-interview-deadline-com,'Shawshank Redemption' At 25: Frank Darabont Reflects On Prison Epic,,deadline.com,interview,https://deadline.com/2019/12/shawshank-redemption-25-years-frank-darabont-anniversary-interview-1202759221/,,true,0.92,data/manual_extracted/shawshank-redemption-02-interview-deadline-com.txt,Manual corpus row 2. Spreadsheet target type: interview. Director interview
shawshank-redemption,shawshank-redemption-03-festival_qa-dga-org,Take Me to the River,,dga.org,festival_qa,https://www.dga.org/craft/dgaq/issues/1304-fall-2013/shot-to-remember-shawshank-redemption,,true,0.92,data/manual_extracted/shawshank-redemption-03-festival_qa-dga-org.txt,Manual corpus row 3. Spreadsheet target type: festival_qa. Second director interview or festival Q&A
shawshank-redemption,shawshank-redemption-04-production_notes-catalog-afi-com,AFI|Catalog,,catalog.afi.com,production_notes,https://catalog.afi.com/Catalog/moviedetails/55199,,true,0.92,data/manual_extracted/shawshank-redemption-04-production_notes-catalog-afi-com.txt,"Manual corpus row 4. Spreadsheet target type: production_notes. Production notes, press kit, or AFI/studio production context"
shawshank-redemption,shawshank-redemption-05-academic-mdpi-com,Shawshank_Academic_Article,,mdpi.com,academic,,,false,0.90,data/manual_extracted/shawshank-redemption-05-academic-mdpi-com.txt,Manual corpus row 5. Spreadsheet target type: academic. Open-access academic or scholarly analysis
shawshank-redemption,shawshank-redemption-06-academic-digitalcommons-unomaha-edu,Shawshank_Academic_2,,digitalcommons.unomaha.edu,academic,,,false,0.90,data/manual_extracted/shawshank-redemption-06-academic-digitalcommons-unomaha-edu.txt,Manual corpus row 6. Spreadsheet target type: educational_essay. Educational/institutional critical essay
shawshank-redemption,shawshank-redemption-07-video_essay_transcript-oscars-org,Shawshank_Video_Essay,,oscars.org,video_essay_transcript,,,false,0.78,data/manual_extracted/shawshank-redemption-07-video_essay_transcript-oscars-org.txt,Manual corpus row 7. Spreadsheet target type: video_essay_transcript. Video essay transcript or creator-provided transcript
shawshank-redemption,shawshank-redemption-08-craft_article-vanityfair-com,For the Love of Shawshank | Vanity Fair,,vanityfair.com,craft_article,https://www.vanityfair.com/hollywood/2019/09/for-the-love-of-shawshank,,false,0.86,data/manual_extracted/shawshank-redemption-08-craft_article-vanityfair-com.txt,"Manual corpus row 8. Spreadsheet target type: craft_article. Cast interview, craft article, film history article, commentary, or book excerpt"
fight-club,fight-club-01-screenplay-imsdb-com,FIGHT CLUB,,imsdb.com,screenplay,https://imsdb.com/scripts/Fight-Club.html,,true,0.92,data/manual_extracted/fight-club-01-screenplay-imsdb-com.txt,Manual corpus row 1. Spreadsheet target type: screenplay. Screenplay or legally available script
fight-club,fight-club-02-interview-theguardian-com,Fight the good fight | David Fincher | The Guardian,,theguardian.com,interview,https://www.theguardian.com/film/1999/oct/29/1,,true,0.92,data/manual_extracted/fight-club-02-interview-theguardian-com.txt,Manual corpus row 2. Spreadsheet target type: interview. Director interview
fight-club,fight-club-03-festival_qa-theguardian-com,"‘Who doesn’t think they’re an outsider?’ David Fincher on hitmen, ‘incels’ and Spider-Man’s ‘dumb’ origin story | David Fincher | The Guardian",,theguardian.com,festival_qa,https://www.theguardian.com/film/2023/oct/27/david-fincher-on-hitmen-incels-and-spider-mans-dumb-origin-story,,true,0.92,data/manual_extracted/fight-club-03-festival_qa-theguardian-com.txt,Manual corpus row 3. Spreadsheet target type: festival_qa. Second director interview or festival Q&A
fight-club,fight-club-04-production_notes-catalog-afi-com,AFI|Catalog,,catalog.afi.com,production_notes,https://catalog.afi.com/Film/61148-FIGHT-CLUB,,true,0.92,data/manual_extracted/fight-club-04-production_notes-catalog-afi-com.txt,"Manual corpus row 4. Spreadsheet target type: production_notes. Production notes, press kit, or AFI/studio production context"
fight-club,fight-club-05-academic-digitalcommons-uri-edu,Fight_Club_Academic,,digitalcommons.uri.edu,academic,,,false,0.90,data/manual_extracted/fight-club-05-academic-digitalcommons-uri-edu.txt,Manual corpus row 5. Spreadsheet target type: academic. Open-access academic or scholarly analysis
fight-club,fight-club-06-academic-academypublication-com,09.pdf,,academypublication.com,academic,https://www.academypublication.com/issues2/tpls/vol05/04/09.pdf,,false,0.90,data/manual_extracted/fight-club-06-academic-academypublication-com.txt,Manual corpus row 6. Spreadsheet target type: educational_essay. Educational/institutional critical essay
