film_slug,source_key,title,author,publisher,source_type,url,publication_date,is_primary,credibility_score,local_path,notes
mulholland-drive,mulholland-drive-public-overview,Mulholland Drive - Overview,,Wikipedia/RogerEbert public web,essay,https://en.wikipedia.org/wiki/Mulholland_Drive_%28film%29,,false,0.74,data/raw/public/mulholland-drive-public-overview.txt,film overview and context
mulholland-drive,mulholland-drive-public-plot,Mulholland Drive - Plot,,Wikipedia/RogerEbert public web,screenplay,https://en.wikipedia.org/wiki/Mulholland_Drive_%28film%29,,false,0.74,data/raw/public/mulholland-drive-public-plot.txt,public plot summary used as screenplay-proxy until licensed scripts are added
mulholland-drive,mulholland-drive-public-production,Mulholland Drive - Production,,Wikipedia/RogerEbert public web,production_notes,https://en.wikipedia.org/wiki/Mulholland_Drive_%28film%29,,false,0.74,data/raw/public/mulholland-drive-public-production.txt,public production history
mulholland-drive,mulholland-drive-public-themes,Mulholland Drive - Themes,,Wikipedia/RogerEbert public web,academic,https://en.wikipedia.org/wiki/Mulholland_Drive_%28film%29,,false,0.74,data/raw/public/mulholland-drive-public-themes.txt,public analysis and interpretive context
mulholland-drive,mulholland-drive-public-reception,Mulholland Drive - Reception,,Wikipedia/RogerEbert public web,review,https://www.rogerebert.com/reviews/mulholland-drive-2001,,false,0.84,data/raw/public/mulholland-drive-public-reception.txt,public reception summary
mulholland-drive,mulholland-drive-public-legacy,Mulholland Drive - Legacy,,Wikipedia/RogerEbert public web,essay,https://en.wikipedia.org/wiki/Mulholland_Drive_%28film%29,,false,0.74,data/raw/public/mulholland-drive-public-legacy.txt,public influence and legacy context
mulholland-drive,mulholland-drive-public-director,Mulholland Drive - Director,,Wikipedia/RogerEbert public web,interview,https://en.wikipedia.org/wiki/David_Lynch,,false,0.74,data/raw/public/mulholland-drive-public-director.txt,public creator biographical context
mulholland-drive,mulholland-drive-public-theme-context,Mulholland Drive - Theme Context,,Wikipedia/RogerEbert public web,academic,https://en.wikipedia.org/wiki/Surrealism,,false,0.74,data/raw/public/mulholland-drive-public-theme-context.txt,public thematic background
mulholland-drive,mulholland-drive-public-cast,Mulholland Drive - Cast and Performance,,Wikipedia/RogerEbert public web,production_notes,https://en.wikipedia.org/wiki/Mulholland_Drive_%28film%29,,false,0.74,data/raw/public/mulholland-drive-public-cast.txt,public cast and performance context
mulholland-drive,mulholland-drive-public-release,Mulholland Drive - Release,,Wikipedia/RogerEbert public web,production_notes,https://en.wikipedia.org/wiki/Mulholland_Drive_%28film%29,,false,0.74,data/raw/public/mulholland-drive-public-release.txt,public release and distribution context
